University Name,Overall Score,Citations per Paper,Papers per Faculty,Academic Reputation,Faculty Student Ratio,Staff with PhD,International Research Center,International Students,Outbound Exchange,Inbound Exchange,International Faculty,Employer Reputation,Success,Predicted Success
Peking University,100.0,96.4,79.8,100.0,98.6,90.7,98.0,69.1,100.0,88.5,83.2,100.0,1,1
The University of Hong Kong,99.7,99.5,55.0,100.0,93.3,97.4,98.4,100.0,100.0,99.8,100.0,96.8,1,1
National University of Singapore (NUS),98.9,99.9,57.4,100.0,85.8,82.5,99.9,99.2,97.6,93.4,100.0,99.9,1,1
Nanyang Technological University,98.3,100.0,53.8,100.0,93.0,67.0,99.7,98.8,97.9,90.5,100.0,98.8,1,1
Fudan University,97.2,92.1,63.1,99.8,92.5,73.4,92.1,81.0,94.9,99.5,98.9,99.5,1,1
The Chinese University of Hong Kong (CUHK),96.7,99.6,61.5,99.9,84.0,80.3,96.0,99.4,96.1,100.0,100.0,91.5,1,1
Tsinghua University,96.3,98.6,80.8,100.0,99.0,96.9,97.9,51.7,59.6,15.9,46.0,100.0,1,1
Zhejiang University,96.0,86.0,96.2,99.3,54.2,95.1,99.9,66.4,100.0,100.0,99.7,99.9,1,1
Yonsei University,95.4,78.2,45.3,99.8,94.8,98.4,97.7,90.9,68.4,100.0,50.5,100.0,1,1
City University of Hong Kong (CityUHK),95.3,99.8,91.4,96.6,97.7,97.7,88.9,100.0,100.0,100.0,100.0,74.0,1,1
The Hong Kong University of Science and Technology,95.1,99.9,77.8,99.7,76.6,94.3,70.6,99.8,100.0,98.8,100.0,92.3,1,1
Universiti Malaya (UM),94.8,67.5,37.0,99.7,92.1,84.9,99.9,94.2,94.3,99.0,89.4,99.9,1,1
Korea University,94.5,89.4,41.8,99.5,87.7,93.7,91.1,85.7,81.4,100.0,40.6,99.9,1,1
Shanghai Jiao Tong University,93.2,76.7,96.3,99.8,79.1,61.9,95.8,67.6,65.9,100.0,43.2,99.4,1,1
